FACTOR07,UBIGEO,RESULT,ESTRATO,P101,P102,P103,P103A,P110,P111A,P1121,P1141,P1142,P1143,P1144,Ingreso
768.868530273438,060801,1,3,1,3,5,4,1,7,1,0,0,1,0,2049.18473307292
768.868530273438,060801,1,3,1,1,5,4,1,1,1,0,1,1,1,3173.15104166667
768.868530273438,060801,1,3,1,3,5,4,1,1,1,0,1,1,1,852.889892578125
768.868530273438,060801,1,3,1,3,5,4,1,1,1,0,1,1,0,1242.22021484375
622.196166992188,060401,1,5,2,1,3,1,1,1,1,0,1,0,1,1233.03068033854
622.196166992188,060401,1,5,1,3,5,3,1,1,1,0,1,0,0,2986.21354166667
622.196166992188,060401,1,5,1,3,5,4,1,1,1,0,1,1,1,7604.5
622.196166992188,060401,1,5,1,3,4,4,1,1,1,0,1,1,1,2468.1171875
622.196166992188,060401,1,5,1,1,3,4,1,1,1,1,1,1,1,2623.10563151042
622.196166992188,060401,1,5,1,3,5,3,1,1,1,1,1,1,1,2255.92822265625
327.983245849609,060411,1,7,1,3,6,4,1,4,1,0,1,0,1,581.150838216146
327.983245849609,060411,1,7,1,3,6,4,1,4,1,0,1,0,0,1015.65852864583
327.983245849609,060411,5,7, , , , , , , , , , , , 
327.983245849609,060411,1,7,1,1,5,4,7,7,1,0,1,0,0,811.686279296875
327.983245849609,060411,1,7,1,3,6,3,1,9,1,0,1,0,0,1862.7861328125
327.983245849609,060411,1,7,1,3,6,3,1,4,1,0,1,0,0,1118.24755859375
327.983245849609,060411,1,7,1,3,6,3,1,4,1,0,1,0,0,1011.03125
327.983245849609,060411,1,7,1,3,6,3,1,4,1,0,1,0,1,1126.09513346354
327.983245849609,061004,1,6,1,4,6,3,1,1,1,0,1,0,0,1944.01481119792
327.983245849609,061004,1,6,1,4,6,3,1,1,1,0,0,0,0,1046.09423828125
327.983245849609,061004,1,6,1,3,6,3,1,1,1,0,1,0,1,1974.46614583333
327.983245849609,061004,1,6,1,3,6,3,1,1,1,0,1,0,1,513.052775065104
327.983245849609,061004,1,6,1,3,6,3,1,1,1,0,1,0,0,705.765299479167
327.983245849609,061004,1,6,1,4,6,3,1,1,1,0,1,0,0,748.864176432292
327.983245849609,061004,1,6,1,4,5,3,1,1,1,0,1,0,0,2197.17041015625
327.983245849609,061004,1,6,1,4,6,3,1,1,1,0,1,0,1,688.200113932292
198.035461425781,070106,1,1,1,1,2,1,1,1,1,0,1,0,1,5774.61848958333
198.035461425781,070106,1,1,1,1,5,4,1,1,1,0,1,0,1,1958.74104817708
198.035461425781,070106,2,1,1,1,3,1,1,1,1,0,1,1,1,5260.84016927083
198.035461425781,070106,1,1,1,7,6,4,1,1,1,0,1,0,1,5415.494140625
198.035461425781,070106,1,1,1,1,5,1,1,1,1,0,1,1,0,1960.98388671875
198.035461425781,070106,1,1,1,8,5,6,1,1,1,0,1,1,1,1975.66666666667
410.421447753906,070102,5,1, , , , , , , , , , , , 
410.421447753906,070102,3,1, , , , , , , , , , , , 
410.421447753906,070102,1,1,3,3,2,4,1,1,1,1,1,1,1,2283.54931640625
410.421447753906,070102,2,1,1,1,5,2,1,1,1,0,1,0,1,3784.90852864583
410.421447753906,070102,2,1,2,1,2,4,1,1,1,1,1,1,1,9199.51627604167
410.421447753906,070102,2,1,1,1,2,1,1,1,1,0,1,0,1,6614.443359375
410.421447753906,070102,1,1,1,1,2,1,1,1,1,1,1,1,1,3890.19401041667
410.421447753906,070102,2,1,1,1,3,1,1,1,1,0,1,1,1,7456.80078125
80.6065902709961,070102,3,1, , , , , , , , , , , , 
80.6065902709961,070102,2,1,1,1,1,1,1,1,1,1,1,1,1,4661.33333333333
80.6065902709961,070102,2,1,1,1,3,1,1,1,1,0,1,1,1,4136.66666666667
80.6065902709961,070102,2,1,1,1,1,1,1,1,1,1,1,1,1,13930.5703125
80.6065902709961,070102,3,1, , , , , , , , , , , , 
80.6065902709961,070102,2,1,2,1,1,1,1,1,1,1,1,1,1,15224.09765625
80.6065902709961,070102,2,1,1,1,2,1,1,1,1,1,1,1,1,2220.3955078125
80.6065902709961,070102,5,1, , , , , , , , , , , , 
706.559753417969,080105,1,2,4,1,5,1,2,2,1,0,1,0,0,1721.11979166667
706.559753417969,080105,3,2, , , , , , , , , , , , 
706.559753417969,080105,1,2,1,3,6,3,1,1,1,0,1,0,1,1870.1298828125
706.559753417969,080105,2,2,4,3,4,3,2,2,1,0,1,0,0,2080.51009114583
706.559753417969,080105,1,2,4,3,4,3,2,2,1,0,1,0,0,850.566162109375
706.559753417969,080105,1,2,4,3,5,3,2,2,1,0,1,0,0,1717.08528645833
706.559753417969,080105,5,2, , , , , , , , , , , , 
77.7377243041992,080108,3,2, , , , , , , , , , , , 
77.7377243041992,080108,7,2, , , , , , , , , , , , 
77.7377243041992,080108,3,2, , , , , , , , , , , , 
77.7377243041992,080108,7,2, , , , , , , , , , , , 
77.7377243041992,080108,1,2,1,1,1,1,1,1,1,0,1,1,1,18242.25
77.7377243041992,080108,1,2,1,1,3,1,1,1,1,1,1,1,1,3616.21256510417
77.7377243041992,080108,1,2,2,1,2,1,1,1,1,1,1,1,1,6384.32552083333
77.7377243041992,080108,1,2,1,1,3,1,1,1,1,1,1,0,1,5386.81770833333
6.9476113319397,080901,1,4,2,1,3,1,1,1,1,0,1,1,1,8980.25325520833
6.9476113319397,080901,1,4,1,3,5,4,1,1,1,0,1,0,1,4017.39583333333
6.9476113319397,080901,1,4,1,1,3,1,1,1,1,0,1,0,1,3935.486328125
6.9476113319397,080901,1,4,1,1,3,4,1,1,1,0,1,0,1,1484.89680989583
6.9476113319397,080901,1,4,4,1,3,1,2,2,1,0,1,0,1,7838.271484375
6.9476113319397,080901,1,4,4,1,5,4,2,2,1,0,1,0,1,2526.96598307292
240.327102661133,090118,7,4, , , , , , , , , , , , 
240.327102661133,090118,1,4,4,2,4,4,2,2,1,0,1,0,1,850.469075520833
240.327102661133,090118,3,4, , , , , , , , , , , , 
240.327102661133,090118,1,4,4,1,3,1,2,2,1,1,1,1,1,2581.75618489583
240.327102661133,090118,1,4,1,1,5,1,1,1,1,1,1,0,1,7131.44075520833
240.327102661133,090118,1,4,1,1,5,1,1,1,1,0,1,0,1,4976.34016927083
150.402160644531,090306,1,7,1,3,6,3,1,1,1,0,1,0,0,930.551839192708
150.402160644531,090306,1,7,1,3,6,3,1,1,1,0,1,0,0,805.772135416667
150.402160644531,090306,1,7,1,3,6,3,1,1,1,0,1,0,0,1089.10026041667
150.402160644531,090306,1,7,1,3,4,3,1,1,1,0,1,0,0,2905.16048177083
150.402160644531,090306,1,7,1,3,6,4,1,5,1,0,0,0,0,460.984171549479
150.402160644531,090306,1,7,1,3,6,3,1,4,1,0,1,0,0,837.865478515625
150.402160644531,090306,1,7,1,3,6,7,1,4,1,0,1,0,0,453.244384765625
150.402160644531,090306,1,7,1,3,5,3,1,9,1,0,1,0,0,262.552225748698
235.837509155273,100402,1,7,1,4,6,3,1,1,1,0,1,0,0,643.597737630208
235.837509155273,100402,1,7,1,4,4,3,1,7,1,0,1,0,0,1855.87906901042
235.837509155273,100402,1,7,1,4,6,4,1,1,1,0,1,0,0,962.900065104167
235.837509155273,100402,1,7,1,4,6,4,1,1,1,0,1,0,0,877.480550130208
235.837509155273,100402,1,7,1,4,6,4,1,1,1,0,1,0,0,358.937703450521
235.837509155273,100402,1,7,1,4,6,3,1,7,1,0,1,0,0,1002.62882486979
235.837509155273,100402,1,7,1,4,6,4,1,1,1,0,0,0,0,2440.85693359375
235.837509155273,100402,1,7,1,4,6,4,1,1,1,0,0,0,0,351.809977213542
246.15657043457,110201,1,2,1,3,3,5,1,1,1,0,1,1,1,5369.13053385417
246.15657043457,110201,2,2,1,1,5,1,1,1,1,0,1,0,1,3252.34375
246.15657043457,110201,1,2,1,1,5,1,1,1,1,0,1,1,0,4411.0087890625
246.15657043457,110201,1,2,1,1,5,1,1,1,1,0,1,1,0,3285.5107421875
246.15657043457,110201,2,2,1,1,5,1,1,1,1,1,1,1,1,5053.50618489583
246.15657043457,110201,1,2,1,1,3,1,1,1,1,0,1,1,1,5300.25130208333
118.266555786133,110503,5,5, , , , , , , , , , , , 
118.266555786133,110503,1,5,1,1,3,1,1,1,1,0,1,1,1,3739.82552083333
118.266555786133,110503,1,5,1,1,3,1,1,1,1,0,1,1,1,2033.39729817708
118.266555786133,110503,1,5,1,1,5,1,1,1,1,0,1,1,0,6514.47395833333
118.266555786133,110503,1,5,1,1,2,1,1,1,1,0,1,0,1,4745.76725260417
118.266555786133,110503,1,5,1,1,5,1,1,1,1,0,1,0,0,3305.34114583333
161.942184448242,120114,7,2, , , , , , , , , , , , 
161.942184448242,120114,7,2, , , , , , , , , , , , 
161.942184448242,120114,1,2,1,3,4,4,1,1,1,0,1,0,0,4247.6123046875
161.942184448242,120114,1,2,4,1,1,1,1,2,1,0,1,0,1,3433.71744791667
161.942184448242,120114,1,2,2,1,4,4,2,2,1,1,1,1,1,2617.76253255208
161.942184448242,120114,1,2,1,1,2,1,1,1,1,0,1,1,1,7374.38932291667
161.942184448242,120114,1,2,2,1,5,1,1,1,1,0,1,0,1,2589.22444661458
161.942184448242,120114,1,2,2,1,1,1,1,1,1,0,1,1,1,5671.83333333333
501.431518554688,120201,1,5,4,3,5,4,2,2,1,0,1,0,0,1569.00146484375
501.431518554688,120201,7,5, , , , , , , , , , , , 
501.431518554688,120201,1,5,1,1,3,1,1,1,1,1,1,1,1,3992.1142578125
501.431518554688,120201,1,5,1,1,5,1,1,1,1,0,1,0,1,2523.5419921875
501.431518554688,120201,1,5,4,3,6,2,2,2,1,0,1,0,1,4113.5
501.431518554688,120201,1,5,1,1,6,4,1,1,1,0,1,0,0,3502.37044270833
224.562072753906,120404,1,6,1,1,5,4,1,4,1,0,1,0,0,1518.20247395833
224.562072753906,120404,1,6,1,4,6,3,1,1,1,0,1,0,0,1274.10294596354
224.562072753906,120404,1,6,1,4,5,3,1,9,1,0,0,0,0,436.572062174479
224.562072753906,120404,7,6, , , , , , , , , , , , 
224.562072753906,120404,1,6,1,3,5,3,1,1,1,0,1,0,0,3391.50260416667
